Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,UGCM1205XP,
C1,CP_Elec_10x10,1,330uF,
"C10, C11, C16, C17",0805,4,1uF,
"C13, C14, C15, C18, C4, C5, C8, C9",0603,8,0.1uF,
"C6, C7",0603,2,15pF,
"D1, D12, D2, D3, D7",0603,5,Blue,
"D10, D4, D8",0603,3,Green,
"D11, D5, D9",D_SOD-123F,3,GS1010FL,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_TopBottom,4,MountingHole_Pad,
J1,DF11-8DP-2DS,1,DF11B-8DP-2DS,
J4,DF51-2P-2DS,1,DF51-2P-2DS,
J5,DF51A-4P-2DSA,1,DF51A-4P-2DSA,
PS1,M78AR03305,1,M78AR05-0.5,
"Q1, Q2",SOT-23,2,AO3400A,
Q3,SC-59_Handsoldering,1,2SC3325-Y,
"R1, R2, R22, R26, R29, R30, R31",0603,7,4.7kR,
R11,0603,1,120R,
"R13, R21, R3, R4, R5",0603,5,680R,
"R14, R16, R19, R23, R24, R25",0603,6,10kR,
"R15, R18",0603,2,300R,
"R17, R20, R6",0603,3,2.4kR,
R27,0603,1,100kR,
R28,0603,1,0R,
"U1, U2, U4",SOIC-16W_7.5x10.3mm_P1.27mm,3,MB85RQ8MX,
U3,MODULE_SAM-M8Q-0-10,1,SAM-M8Q-0-10,
U5,TSOT-23-5,1,NCV8114BSN330T1G,
U7,TSOT-23-5_HandSoldering,1,TC7S14F,
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,
U9,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xST,
UX1,BOARD_ARDUINO_MKR_WAN_1310,1,ARDUINO_MKR_WAN_1310,
Y1,Crystal_SMD_HC49-SD,1,8MHz,
