Designator,Mid X,Mid Y,Rotation,Layer
BZ1,186.944,-87.884,0.0,top
C1,183.896,-114.554,180.0,top
C10,187.452,-100.965,180.0,bottom
C11,187.452,-94.615,180.0,bottom
C13,160.528,-114.935,90.0,top
C14,154.178,-105.537,270.0,bottom
C15,122.555,-96.2152,270.0,bottom
C16,153.67,-68.072,180.0,top
C17,166.116,-68.072,0.0,top
C18,120.777,-105.537,270.0,bottom
C4,160.528,-120.142,90.0,top
C5,170.942,-110.236,90.0,bottom
C6,180.848,-94.7805,90.0,bottom
C7,164.338,-94.7805,90.0,bottom
C8,138.7,-119.3,180.0,top
C9,138.7,-114.0,180.0,top
D1,145.018,-129.915,90.0,top
D10,135.605,-67.0,0.0,top
D11,136.144,-75.4,180.0,top
D12,155.559,-129.915,90.0,top
D2,147.304,-129.915,90.0,top
D3,150.352,-129.915,90.0,top
D4,168.783,-132.334,90.0,top
D5,191.516,-110.998,270.0,top
D7,153.4,-129.915,90.0,top
D8,144.105,-67.0,0.0,top
D9,142.113,-75.438,180.0,top
J1,162.5,-125.55,0.0,top
J4,135.8,-126.05,0.0,top
J5,141.605,-70.975,180.0,top
PS1,185.41,-105.282,0.0,top
Q1,140.335,-79.375,270.0,top
Q2,134.112,-79.375,270.0,top
Q3,178.816,-83.82,90.0,top
R1,139.954,-94.488,90.0,bottom
R11,164.592,-121.92,180.0,top
R13,153.416,-115.316,270.0,top
R14,172.974,-110.236,270.0,bottom
R15,140.335,-82.931,0.0,top
R16,140.335,-84.963,180.0,top
R17,147.605,-67.0,180.0,top
R18,134.112,-82.931,0.0,top
R19,134.112,-84.963,180.0,top
R2,157.226,-98.425,270.0,bottom
R20,139.305,-67.0,180.0,top
R21,155.448,-115.316,270.0,top
R22,173.736,-84.6,90.0,top
R23,175.768,-84.6,90.0,top
R24,134.1,-114.0,0.0,top
R25,134.1,-119.3,0.0,top
R26,136.525,-105.41,270.0,bottom
R27,169.926,-85.09,270.0,top
R28,160.782,-67.564,270.0,top
R29,148.082,-84.836,270.0,top
R3,145.034,-115.316,270.0,top
R30,149.606,-79.502,270.0,top
R31,119.888,-97.663,270.0,bottom
R4,147.32,-115.316,270.0,top
R5,150.368,-115.316,270.0,top
R6,170.688,-132.334,270.0,top
U1,147.32,-100.0,180.0,bottom
U2,130.0,-100.0,0.0,bottom
U3,160.02,-77.978,270.0,top
U4,113.538,-100.0,180.0,bottom
U5,185.42,-97.7955,270.0,bottom
U7,136.4,-116.6,180.0,top
U8,164.592,-117.094,180.0,top
U9,170.688,-103.3115,180.0,bottom
UX1,139.9,-100.0,90.0,top
Y1,172.593,-95.758,180.0,bottom
