Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C13, C16, C17, C22, C3, C5",0603,7,0.1uF,
C11,CP_Elec_6.3x5.9,1,33uF,
"C14, C15",0603,2,15pF,
C18,0603,1,0.056uF,
"C19, C20",0603,2,2.2uF,
"C2, C4",0805,2,22uF,
C21,0603,1,0.0056uF,
C9,CP_Radial_D18.0mm_P7.50mm,1,2200uF,
"D1, D2, D3",0603,3,Orange,
"D4, D5",D_SMA,2,SMAJ45A,
D6,D_SMA_Handsoldering,1,SB34AFC,
"D7, D8, D9",0603,3,Red,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_TopBottom,4,MountingHole,
"J1, J2",DF51-2P-2DS,2,DF51-2P-2DS,
J3,DF11-8DP-2DS,1,DF11-8DP-2DS,
PS1,M78AR03305,1,M78AR05-0.5,
"Q11, Q12",SOIC-8_3.9x4.9mm_P1.27mm,2,Si4162DY,
"Q2, Q4, Q5, Q6, Q7, Q8",SOT-23_Handsoldering,6,AO3401A,
Q3,TSOT-23_HandSoldering,1,AO3400A,
"R1, R2",0603,2,4.7kR,
"R10, R11, R12",2512,3,15mR,
"R13, R14, R9",0603,3,680R,
"R15, R16",0603,2,2.7kR,
R17,0603,1,820,
R18,0603,1,5.6kR,
R19,0603,1,5.6kR,
R20,0603,1,3.3kR,
R21,0603,1,3.6kR,
"R24, R26, R3, R4, R6, R7",0603,6,10kR,
R25,0603,1,120R,
"R5, R8",0603,2,100kR,
TH1,PinHeader_1x02_P1.27mm_Vertical,1,Thermistor_NTC,
U1,XIAO-RP2040-SMD,1,XIAO-RP2040-DIP,
U11,StrawberryLinux_LTC3119,1,LTC3119,
"U3, U4, U6",VSSOP-10_3x3mm_P0.5mm,3,INA228,
U5,MSOP-16_3x4.039mm_P0.5mm,1,LTC4353,
U7,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xSO,
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,
U9,SOT-23_Handsoldering,1,MCP1792x-5002xCB,
Y1,Crystal_HC49-4H_Vertical,1,8MHz,
