Designator,Mid X,Mid Y,Rotation,Layer
C1,174.692621,-108.458,0.0,top
C10,147.066,-94.234,180.0,top
C11,159.258,-85.344,180.0,top
C13,172.466,-120.904,270.0,top
C14,185.293,-107.823,180.0,top
C15,185.293,-121.793,180.0,top
C16,163.703,-118.745,0.0,top
C17,168.275,-111.76,180.0,top
C18,153.162,-98.044,270.0,top
C19,161.163,-117.094,0.0,top
C2,140.8176,-119.0244,90.0,top
C20,163.195,-111.76,180.0,top
C21,153.162,-101.6,90.0,top
C22,152.4,-120.65,180.0,top
C3,139.954,-102.108,90.0,top
C4,132.08,-80.3656,180.0,top
C5,139.446,-97.536,270.0,top
C9,150.09578,-74.168,180.0,top
D1,168.91,-68.58,0.0,top
D10,159.9184,-115.0396,90.0,bottom
D2,163.322,-68.58,0.0,top
D3,169.418,-129.286,270.0,top
D4,150.622,-85.344,180.0,top
D5,155.448,-127.381,90.0,top
D6,127.508,-83.566,90.0,top
D7,152.4,-115.062,180.0,top
D8,145.542,-100.584,270.0,top
D9,133.858,-99.822,90.0,top
J1,134.62,-75.3364,180.0,top
J2,139.7,-124.714,0.0,top
J3,163.0,-125.55,0.0,top
PS1,117.866,-81.916,180.0,top
Q1,168.1988,-89.916,180.0,top
Q11,153.924,-91.948,270.0,top
Q12,153.162,-107.442,270.0,top
Q2,143.8656,-116.586,270.0,top
Q3,134.874,-119.761,180.0,top
Q4,139.7,-113.5888,90.0,top
Q5,137.9728,-82.8947,0.0,top
Q7,171.196,-86.36,0.0,top
Q9,134.9756,-86.7156,180.0,top
R1,127.0,-112.649,180.0,top
R10,135.89,-91.567,0.0,top
R11,143.002,-106.426,180.0,top
R12,156.972,-117.348,270.0,top
R13,142.748,-94.742,180.0,top
R14,135.128,-105.41,0.0,top
R15,168.91,-75.692,0.0,top
R16,163.322,-75.819,0.0,top
R17,134.112,-116.967,0.0,top
R18,150.622,-87.884,0.0,top
R19,173.5836,-89.916,180.0,top
R2,127.0,-110.617,180.0,top
R20,166.116,-84.5312,90.0,top
R21,169.418,-124.968,270.0,top
R22,134.112,-114.173,180.0,top
R24,172.466,-117.348,270.0,top
R25,165.1,-121.666,0.0,top
R26,152.4,-123.698,270.0,top
R3,135.128,-108.458,180.0,top
R4,138.9888,-118.7704,90.0,top
R5,136.906,-116.078,270.0,top
R6,135.128,-110.1852,180.0,top
R7,142.3416,-82.9056,270.0,top
R8,131.8768,-83.2104,270.0,top
R9,152.4,-113.538,180.0,top
TH1,148.7264,-123.698,270.0,top
U1,117.77425,-99.9175,90.0,top
U11,174.244,-91.870395,90.0,top
U3,136.652,-99.822,90.0,top
U4,142.748,-99.822,270.0,top
U5,149.2758,-99.822,0.0,top
U6,150.876,-117.856,0.0,top
U7,178.308,-116.078,90.0,top
U8,168.275,-116.459,180.0,top
U9,162.179,-114.427,0.0,top
Y1,186.436,-114.818,90.0,top
