Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C6, C7",0603,6,0.1uF,
C5,CP_Elec_6.3x5.9,1,33uF,
"D1, D2, D3",0603,3,Orange,
D4,D_SMB_Handsoldering,1,SR54F,
"J2, J3, J4, J6",DF1B-2S-2.5R,4,DF1B-2S-2.5R,
"J5, J7",DF11-8DP-2DS,2,DF11-8DP-2DS,
J8,DF51-2P-2DS,1,DF51-2P-2DS,
"Q1, Q2",SOT-23,2,AO3401A,
"R1, R14, R15, R3, R4, R6",0603,6,10R,
"R10, R7, R9",0603,3,2.4kR,
R11,0603,1,5.6kR,
R12,0603,1,5.6kR,
R13,0603,1,3.3kR,
"R16, R2, R5",2816,3,0.1R,
R8,0603,1,10kR,
TH1,PinHeader_1x02_P1.00mm_Vertical,1,10kR,
"U1, U2, U4",SOT-23-8,3,INA219BxDCN,
U3,StrawberryLinux_LTC3118,1,~,
