Designator,Mid X,Mid Y,Rotation,Layer
C1,127.635,-100.457,90.0,top
C2,129.5635,-112.014,90.0,top
C3,127.635,-108.458,90.0,top
C4,129.54,-95.123,90.0,top
C5,183.261,-100.33,180.0,top
C6,127.635,-91.0325,90.0,top
C7,129.5635,-103.632,90.0,top
D1,128.6,-132.08,90.0,top
D2,135.5,-67.4,270.0,top
D3,169.672,-132.588,90.0,top
D4,175.514,-94.488,90.0,top
J2,154.254,-75.438,180.0,top
J3,130.962,-75.438,180.0,top
J4,165.9,-75.438,180.0,top
J5,163.0,-125.55,0.0,top
J6,142.608,-75.438,180.0,top
J7,150.0,-125.55,0.0,top
J8,135.2,-126.4,0.0,top
Q1,177.673,-104.902,180.0,top
Q2,175.768,-108.458,0.0,top
R1,132.461,-112.903,0.0,top
R10,169.672,-129.286,90.0,top
R11,171.196,-94.996,270.0,top
R12,174.625,-102.997,270.0,top
R13,141.478,-81.28,90.0,top
R14,132.461,-104.394,0.0,top
R15,132.461,-102.7176,180.0,top
R16,162.56,-117.602,180.0,top
R2,138.43,-112.014,90.0,top
R3,132.461,-111.125,0.0,top
R4,132.461,-96.012,0.0,top
R5,132.207,-82.931,0.0,top
R6,132.461,-94.234,0.0,top
R7,126.9,-132.144,90.0,top
R8,147.955,-121.412,0.0,top
R9,137.4,-67.3,270.0,top
TH1,142.9,-132.0,270.0,top
U1,123.698,-111.435,0.0,top
U2,123.698,-94.488,0.0,top
U3,155.767,-100.08,0.0,top
U4,123.698,-102.9615,0.0,top
