Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_10x10,1,330uF,
"C10, C11",0805,2,1uF,
"C14, C15, C16, C4, C5, C6",0603,6,0.1uF,
"C7, C8",0603,2,15pF,
"D1, D2, D5, D6",0603,4,Blue,
D3,0603,1,Green,
D7,D_SOD-123F,1,SS2040FL,
"H5, H6, H7, H8",MountingHole_3.2mm_M3_DIN965_Pad_TopBottom,4,MountingHole_Pad,
J1,DF11-8DP-2DS,1,DF11-8DP-2DS,
J3,DF51-2P-2DS,1,DF51-2P-2DS,
J4,DF51A-4P-2DS,1,DF51A-4P-2DS,
PS1,M78AR03305,1,M78AR05-0.5,
"R1, R12, R13, R2",0603,4,680R,
R10,0603,1,2.2kR,
R11,0603,1,120R,
"R14, R15",0603,2,10kR,
"R17, R5, R6, R7, R8, R9",0603,6,4.7kR,
U1,BOARD_ARDUINO_MKR_WAN_1310,1,ARDUINO_MKR_WAN_1310,
U2,AE-BNO055-BO,1,BNO055,
U4,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xST,
"U5, U6, U7",SOIC-16W_7.5x10.3mm_P1.27mm,3,MB85RQ8MX,
U8,TSOT-23-5,1,RT9080-33GJ5,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,
Y1,Crystal_HC49-4H_Vertical,1,8MHz,
