Designator,Mid X,Mid Y,Rotation,Layer
C1,183.388,-116.078,90.0,top
C10,188.976,-86.868,90.0,bottom
C11,181.356,-86.868,90.0,bottom
C14,117.094,-96.266,90.0,bottom
C15,145.288,-103.124,270.0,bottom
C16,147.828,-96.266,90.0,bottom
C4,172.974,-109.474,180.0,bottom
C5,176.784,-118.872,90.0,bottom
C6,179.07,-89.154,270.0,bottom
C7,167.132,-104.902,270.0,bottom
C8,182.88,-104.902,270.0,bottom
D1,151.511,-131.3895,90.0,top
D2,153.924,-131.4095,90.0,top
D3,169.672,-127.9125,90.0,top
D5,145.923,-131.318,90.0,top
D6,148.301,-131.318,90.0,top
D7,188.849,-107.696,180.0,top
J1,163.0,-125.55,0.0,top
J3,135.398,-126.164,0.0,top
J4,138.43,-75.362,180.0,top
PS1,190.88,-98.816,90.0,top
R1,151.511,-115.9745,270.0,top
R10,169.672,-123.8485,270.0,top
R11,164.846,-120.65,0.0,bottom
R12,146.212,-115.9745,270.0,top
R13,148.59,-115.9745,270.0,top
R14,177.292,-89.154,270.0,bottom
R15,135.382,-119.888,0.0,top
R17,161.036,-96.266,90.0,bottom
R2,153.924,-115.9745,270.0,top
R5,132.334,-103.124,270.0,bottom
R6,130.556,-96.266,90.0,bottom
R7,137.541,-80.645,270.0,top
R8,135.382,-80.645,270.0,top
R9,175.514,-89.154,90.0,bottom
U1,139.9,-100.0,90.0,top
U2,156.337,-76.581,270.0,top
U3,172.974,-115.062,180.0,bottom
U4,176.276,-95.758,0.0,bottom
U5,123.825,-100.0,180.0,bottom
U6,138.811,-100.0,0.0,bottom
U7,154.432,-100.0,180.0,bottom
U8,184.912,-88.9,180.0,bottom
Y1,175.006,-103.886,0.0,bottom
