Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C14",0603,2,10uF,
C10,CP_Radial_D18.0mm_P7.50mm,1,2200uF,
C11,0805,1,22uF,
C12,0805,1,10uF,
"C13, C2, C3, C4, C5",0603,5,0.1uF,
"C6, C7",0603,2,15pF,
"C8, C9",0603,2,1uF,
D1,D_SMA,1,D,
J1,DF51A-4P-2DSA,1,DF51A-4P-2DSA,
J3,DF51A-2P-2DSA,1,DF51A-2P-2DSA,
MD2,MURATA_OKL-T-6-W12N-C_0,1,OKL-T_6-W12N-C,OKL-T/6-W12N-C
Q1,SOT-23,1,NMOS,
"R1, R14, R15, R16, R2, R3, R4, R7",0603,8,10kR,
R10,0603,1,1kR 0.1%,
R11,0603,1,330R 0.1%,
R12,0603,1,10R 0.1%,
R13,0603,1,600R,
R5,0603,1,750R,
R6,0603,1,120R,
R8,0603,1,20kR,
R9,0603,1,100kR,
"U1, U6",CCLGA-7L,2,LPS28DFW,
U2,TSOT-23-5,1,NCV8114BSN330T1G,
U3,SOIC-18W_7.5x11.6mm_P1.27mm,1,MCP2515-xSO,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,
U5,XIAO-RP2040-SMD,1,XIAO-RP2040-DIP,
Y1,Crystal_SMD_HC49-SD,1,8MHz,
