Designator,Mid X,Mid Y,Rotation,Layer
BZ1,30.0,-28.0,90.0,bottom
C1,71.529,-45.018,0.0,top
C10,39.16222,16.5,0.0,top
C11,11.018,-67.738,90.0,top
C12,11.01,-63.42,270.0,top
C13,71.91,-23.174,0.0,top
C14,71.91,-21.523,0.0,top
C2,71.564,-43.354,0.0,top
C3,51.498,-40.814,90.0,top
C4,38.798,-61.388,270.0,top
C5,43.37,-54.53,180.0,top
C6,34.813,-58.086,180.0,top
C7,34.813,-42.211,0.0,top
C8,29.908,-60.626,90.0,top
C9,36.385,-61.388,90.0,top
D1,28.4,-78.8,0.0,top
J1,43.0,-71.6,180.0,top
J3,56.543,11.853,0.0,top
MD2,21.018,-66.722,90.0,top
Q1,27.622,-18.208,0.0,top
R1,71.564,-35.48,0.0,top
R10,25.59,-57.07,90.0,top
R11,23.558,-57.07,90.0,top
R12,21.526,-57.07,90.0,top
R13,29.908,-36.75,90.0,top
R14,67.211,-19.745,90.0,top
R15,71.529,-13.268,0.0,top
R16,67.211,-15.554,270.0,top
R2,67.246,-42.465,90.0,top
R3,67.246,-38.02,270.0,top
R4,53.276,-40.814,90.0,top
R5,32.702,-19.224,180.0,top
R6,43.37,-65.7,0.0,top
R7,32.702,-17.192,180.0,top
R8,17.716,-75.358,0.0,top
R9,15.0,-55.9,90.0,top
U1,71.716,-39.74,0.0,bottom
U2,33.21,-63.674,180.0,top
U3,44.211,-46.91,270.0,top
U4,43.322,-59.318,180.0,top
U5,50.024,-26.5455,270.0,top
U6,72.0,-17.5,0.0,bottom
Y1,34.813,-50.339,270.0,top
