Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6, C7, C8, C9",0603,6,0.1u,
C18,0603,1,0.1uF,
C4,CP_Radial_D12.5mm_P5.00mm,1,1000u,
D1,D_SOD-123,1,RB160M-30TR,
D2,D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp,1,P4KE15A,
D5,MA_DO-221BC,1,MA10EB045,
D6,D_SOD-123,1,1N4148W,
END 120R,SW_CK_JS202011CQN_DPDT_Straight,1,IS-2235,
J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,B4B-XH-A(LF)(SN),
"J2, J3",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,B3B-XH-A(LF)(SN),
J4,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,XT30PW-M,
J5,DF51A-4P-2DSA,1,DF51A-4P-2DSA,
J6,PinHeader_1x04_P2.54mm_Vertical,1,SSD1306,
J7,DF51A-8DP-2DS,1,DF51A-8DP-2DS,
LS1,UGCT7525AN4,1,UGCT7525AN4,
Q1,SOT-23_Handsoldering,1,IRLML6344TRPBFTR,
"R1, R10, R11, R12, R13, R15, R2, R7, R8",0603,9,10k,
"R3, R4",0603,2,4.7k,
"R5, R6",0603,2,120,
R9,0603,1,1k,
SW A,SKRPACE010,1,SKRPACE010,
U1,XIAO-RA4M1-SMD,1,XIAO-RA4M1-SMD,
U10,SOIC-16W_7.5x10.3mm_P1.27mm,1,MB85RQ8MX,
U2,StrawberryLinux_ICM-42688-P,1,ICM-42688,
U3,StrawberryLinux_ADXL375,1,ADXL375,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,ATA6561,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX485E,
U6,StrawberryLinux_SC8721,1,SC8721,
U7,BP5293-50,1,BP5293-50,
"U8, U9",SOT-23-5,2,TC7S14F,
