Designator,Mid X,Mid Y,Rotation,Layer
C1,138.938,-124.714,0.0,top
C18,119.888,-81.788,0.0,top
C2,114.1995,-136.652,0.0,top
C4,126.873,-122.985041,270.0,top
C6,178.308,-86.106,180.0,top
C7,182.626,-82.55,180.0,top
C8,189.6055,-86.106,180.0,top
C9,193.6695,-82.55,180.0,top
D1,195.834,-113.03,0.0,top
D2,113.755818,-127.254,180.0,top
D5,180.181,-131.557,90.0,top
D6,106.045,-96.75,270.0,top
END 120R,147.5665,-141.986,270.0,top
J1,106.426,-133.37,270.0,top
J2,123.461,-108.204,270.0,top
J3,106.951,-108.204,270.0,top
J4,190.57,-132.08,270.0,top
J5,182.0,-77.622,0.0,top
J6,159.51,-80.694,90.0,top
J7,134.922,-137.508,0.0,top
LS1,108.4995,-87.182,0.0,top
Q1,110.133,-97.258,0.0,top
R1,163.322,-86.233,90.0,top
R10,114.8085,-96.496,0.0,top
R11,189.6055,-82.55,0.0,top
R12,189.6055,-84.328,0.0,top
R13,154.94,-107.696,0.0,top
R15,160.274,-99.568,180.0,top
R2,160.782,-86.233,90.0,top
R3,165.862,-99.568,180.0,top
R4,165.862,-101.346,180.0,top
R5,147.574,-135.128,180.0,top
R6,110.998,-132.842,270.0,top
R7,178.308,-82.55,0.0,top
R8,178.308,-84.328,0.0,top
R9,114.8085,-98.086,0.0,top
SW A,153.924,-110.744,0.0,top
U1,186.69,-100.0,270.0,top
U10,124.128,-88.646,270.0,top
U2,138.43,-88.9,0.0,top
U3,138.43,-102.235,180.0,top
U4,139.954,-130.048,180.0,top
U5,116.332,-132.842,90.0,top
U6,166.27,-129.44,180.0,top
U7,189.992,-121.997,0.0,top
U8,182.626,-85.344,180.0,top
U9,193.6695,-85.344,180.0,top
