Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C18, C3, C4, C5",0603,9,0.1uF,
"C10, C9",0603,2,1uF,
C15,CP_Elec_10x10,1,330uF,
C16,CP_Radial_D8.0mm_P3.50mm,1,100uF,
C17,0805,1,22uF,
"C6, C7",0603,2,15pF,
D1,D_SMA,1,SMAJ45A,
D3,0603,1,Green,
D9,D_SMA_Handsoldering,1,SB34AFC,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_TopBottom,4,MountingHole_Pad,
"J1, J3",DF51A-4P-2DS,2,DF51A-4P-2DS,
J2,DF11-8DP-2DS,1,DF11-8DP-2DS,
PS1,M78AR03305,1,M78AR05-0.5,
Q1,SOT-23_Handsoldering,1,AO3400A,
"Q2, Q4",SOT-23_Handsoldering,2,AO3401A,
"R1, R6",0603,2,120,
R10,0603,1,820R,
R11,0603,1,2.4kR,
"R12, R24, R25, R26, R27",0603,5,10kR,
R13,0603,1,100kR,
R4,0603,1,10K,
R9,0603,1,4.7k,
U1,XIAO-RP2040-SMD,1,XIAO-RP2040-DIP,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,LT1785xS8,
U3,SOIC-18W_7.5x11.6mm_P1.27mm,1,MCP2515-xSO,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,
U5,TSOT-23-5,1,RT9080-33GJ5,
U6,SOIC-16W_7.5x10.3mm_P1.27mm,1,MB85RQ8MX,
"U8, U9",TSOT-23-5_HandSoldering,2,TC7S14F,
Y1,Crystal_SMD_HC49-SD,1,8MHz,
